   ing    |                                                                                                                                                                                              units                                                                                                                                                                                               
 11252    | ["", "bag", "bunch", "cup", "cups", "handful", "handfuls", "head", "heads", "leaf", "leave", "leaves", "ounces", "pound", "serving", "servings", "slice"]
 11253    | ["Leaf", "leaf"]
 11257    | ["cups", "head", "leaf", "leaves", "ounces", "servings"]
 11260    | ["", "Cs", "Ozs", "container", "cup", "cups", "grams", "handful", "jar", "milliliters", "ounce", "ounces", "package", "packet", "pint", "pound", "pounds", "serving", "servings", "tablespoon", "tablespoons"]
 11264    | ["cups", "ounces"]
 11265    | ["", "cups", "inches", "ounces", "pint", "pound", "pounds"]
 11266    | ["", "Cups", "container", "cup", "cups", "grams", "ounce", "ounces", "packages", "pound", "pounds"]
 11268    | ["", "cup", "ounce", "ounces"]
 11270    | ["bunch", "cups", "leaves", "pound"]
 11278    | ["", "cups", "gms", "grams", "kgs", "ounce", "pound", "pounds"]
 11282    | ["", "C", "Cs", "Cups", "Tablespoons", "Tb", "Tbs", "Tbsps", "chunk", "clove", "cup", "cups", "gms", "grams", "ounces", "pound", "pounds", "serving", "servings", "slice", "slices", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 11284    | ["Tablespoon", "Tbsps", "cups", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1129     | [""]
 11291    | ["", "Handful", "Strip", "Tablespoon", "Tablespoons", "Tb", "Tbs", "Tbsp", "Tbsps", "bunch", "bunches", "cup", "cups", "grams", "handful", "leave", "ounces", "serving", "servings", "stalk", "stalks", "tablespoon", "tablespoons", "teaspoons"]
 11294    | ["", "Cs", "cup", "cups", "pound", "pounds", "servings", "slice", "slices", "tablespoon", "tablespoons"]
 11297    | ["", "Bunch", "Cs", "Cups", "Handful", "Tablespoon", "Tablespoons", "Tb", "Tbs", "Tbsp", "Tbsps", "Teaspoon", "bunch", "bunches", "cube", "cup", "cups", "grams", "handful", "leaf", "leave", "leaves", "milliliters", "ounce", "ounces", "pinches", "pint", "serving", "servings", "sprig", "sprigs", "stalks", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 11298    | ["", "cup", "cups", "kg", "ounces", "pound", "pounds"]
 11300    | ["", "cup", "cups", "handful", "ounces", "pound", "pounds", "servings"]
 11304    | ["", "C", "Cs", "Handful", "Packages", "cup", "cups", "grams", "handful", "ounces", "package", "pound", "pounds", "serving", "servings", "tablespoons"]
 11306    | ["cup"]
 1131     | ["", "servings"]
 11311111 | ["tablespoon", "teaspoons"]
 11318    | ["cup"]
 11319297 | ["cup", "cups", "tablespoons"]
 11320420 | ["", "box", "cup", "cups", "grams", "ounces", "pound", "pounds"]
 11320421 | ["cups", "ounces"]
 11322    | ["Bag", "cup", "cups", "ounces"]
 11333    | ["", "C", "Cs", "cup", "cups", "gms", "servings", "tablespoon", "tablespoons"]
 11343028 | ["cup", "cups"]
 11352    | ["", "Cs", "cup", "cups", "grams", "inches", "ounces", "pound", "pounds", "servings"]
 11353    | ["", "cup", "cups", "grams", "ounces", "pound", "pounds", "slices"]
 11355    | ["", "grams", "kg", "pound", "pounds", "servings"]
 11362    | ["", "C", "Cs", "Pounds", "Tbsps", "Tub", "bag", "cup", "cups", "gms", "grams", "kg", "kgs", "ounces", "pound", "pounds", "serving", "servings", "slice", "tablespoons"]
 11378    | ["cup", "cups", "ounces", "package", "tablespoons"]
 1138     | [""]
 11390    | ["cup", "cups", "ounces", "package", "pounds"]
 11398    | ["", "cups", "ounces", "pound", "pounds"]
 11408    | ["bag", "cup", "cups", "ounces", "servings"]
 11413    | ["Tbs", "cups", "grams", "ounces", "tablespoon", "tablespoons", "teaspoons"]
 11416    | [""]
 11419297 | ["cups"]
 11420420 | ["", "box", "boxes", "boxs", "cups", "gms", "grams", "inchribes", "loaf", "ounces", "packages", "pound", "pounds", "servings"]
 11420421 | ["Pound", "cups", "grams", "ounces", "package", "pound", "servings"]
 11422    | ["", "Cups", "Tbsps", "can", "cup", "cups", "grams", "kg", "ounces", "package", "pound", "pounds", "servings"]
 11424    | ["", "C", "Cs", "Cups", "Tablespoon", "Tablespoons", "Tbs", "Tbsp", "Tbsps", "can", "cans", "cup", "cups", "grams", "ounce", "ounces", "servings", "tablespoon", "tablespoons"]
 11426    | ["", "cups", "ounce", "ounces", "serving", "tablespoons", "teaspoon", "teaspoons"]
 11429    | ["", "C", "Handful", "bunch", "bunches", "cup", "cups", "grams", "inches", "leave", "ounces", "pounds", "serving", "servings", "slice", "slices", "tablespoons"]
 11430    | ["", "cups", "ounces", "pound", "pounds", "servings"]
 11435    | ["", "cup", "cups", "pound", "pounds"]
 11439    | ["cup", "cups", "ounces", "pound", "pounds"]
 1144     | ["", "tablespoons", "teaspoons"]
 11445    | ["", "grams", "inches", "servings", "sheets", "strip", "strips", "teaspoons"]
 11446    | ["", "servings", "sheet", "sheets"]
 1145     | ["", "C", "Cs", "Cups", "TBSPs", "Tablespoon", "Tablespoons", "Tb", "Tbs", "Tbsp", "Tbsps", "cup", "cups", "grams", "grs", "milliliters", "ounce", "ounces", "pound", "pounds", "serving", "servings", "stick", "sticks", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 11457    | ["", "Handful", "Leave", "bag", "cup", "cups", "grams", "handful", "handfuls", "leave", "ounces", "pound", "pounds", "servings"]
 11463    | ["Tbs", "box", "boxes", "cup", "cups", "grams", "ounces", "package", "packages", "pound", "pounds", "tablespoons"]
 11475    | ["", "cups", "inches", "servings"]
 11477    | ["", "cup", "cups", "grams", "inches", "kg", "ounces", "pound", "pounds", "servings", "slice", "slices"]
 11482    | ["", "cups", "pounds"]
 11485    | ["", "Cs", "bag", "cup", "cups", "grams", "kg", "ounces", "pound", "pounds", "slices", "tablespoons"]
 11489    | [""]
 11492    | ["", "cups", "gms", "grams", "pounds", "servings"]
 11503    | ["bunch"]
 11507    | ["", "Lbs", "Pound", "bag", "cup", "cups", "grams", "kg", "kgs", "ounces", "package", "pound", "pounds", "servings", "teaspoons"]
 11508    | ["", "cup", "servings"]
 11518    | ["", "grams"]
 11519297 | ["", "Tbs", "Tbsps", "cup", "cups", "grams", "jar", "ounces", "servings", "tablespoon", "tablespoons", "teaspoons"]
 11520420 | ["ounces", "pound", "pounds"]
 11527    | ["", "kgs", "pound", "pounds"]
 11529    | ["", "Bag", "Can", "Cans", "Cs", "Ounces", "Ozs", "can", "cup", "cups", "grams", "kg", "kgs", "milliliters", "ounces", "pint", "pound", "pounds", "quarts", "serving", "servings", "slice", "slices", "tablespoon", "tablespoons"]
 11531    | ["cans", "cup", "cups", "ounces"]
 11533    | ["cup", "grams", "milliliters", "ounces"]
 1154     | ["Tablespoon", "cup", "cups", "tablespoons"]
 11547    | ["TBSPs", "cup", "cups", "grams", "ounces", "tablespoon", "tablespoons", "teaspoons"]
 11549    | ["", "Can", "Cans", "Cs", "Cups", "Link", "Tbsps", "can", "cans", "cup", "cups", "grams", "jar", "liter", "milliliters", "mls", "ounces", "quart", "quarts", "serving", "servings", "tablespoons"]
 11564    | ["", "cup", "cups", "pound", "pounds"]
 11568    | ["cups"]
 11583    | ["Tbsps", "bag", "cup", "cups", "grams", "ounces", "package", "packet", "pouches", "pound", "pounds", "servings", "slice", "tablespoon", "tablespoons"]
 1159     | ["", "Cups", "Ounces", "Ozs", "Tbs", "cup", "cups", "grams", "milliliters", "ounce", "ounces", "packages", "pounds", "servings", "tablespoon", "tablespoons"]
 11590    | ["", "can", "cup", "cups", "ounce", "ounces", "servings"]
 11591    | ["bunch", "bunches", "cup", "cups", "grams", "handful", "handfuls", "head", "leave", "serving", "servings", "sprigs"]
 11601    | ["", "Pounds", "cups", "grams", "ounces", "pounds"]
 11603    | ["", "can", "cup", "cups", "grams", "ounces", "package", "pound", "pounds", "stick", "tablespoons"]
 11611111 | ["", "pounds"]
 11615    | ["Tablespoon", "cups", "teaspoon", "teaspoons"]
 11620420 | ["ounces", "pound"]
 11632    | ["", "Tb", "Tbs", "Tbsp", "can", "cup", "cups", "ounces", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 11641    | ["", "cup", "cups", "ounces", "pound", "pounds", "servings"]
 11643    | ["", "cups", "grams", "pound", "pounds"]
 11655    | ["cups"]
 11663    | ["ounces", "tablespoon", "teaspoons"]
 11667    | ["tablespoon", "teaspoon"]
 11669    | ["Tbsp", "ounces"]
 11670    | ["", "Tablespoon", "Tbsps", "cup", "cups", "ounces", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 11676    | ["cup", "cups", "handful", "ounces"]
 11677    | ["", "Cups", "TBSPs", "Tablespoons", "Tb", "Tbs", "Tbsps", "cup", "cups", "grams", "ounces", "pound", "pounds", "servings", "stalks", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1168     | ["cups", "ounces", "pounds", "servings", "tablespoons"]
 11695    | [""]
 11696    | ["", "pounds"]
 11711111 | ["cups", "pounds"]
 1173     | ["", "grams"]
 1174     | ["Tablespoons", "Tbsps", "cup", "cups", "milliliters", "ounces", "packets", "servings", "tablespoon", "tablespoons", "teaspoons"]
 11741    | ["Ozs", "bag", "cups", "ounces"]
 1179     | ["Tablespoons", "Tbs", "cup", "cups", "ounces", "servings", "tablespoon", "tablespoons"]
 1180     | ["cups"]
 11819    | ["", "Dash", "Tablespoons", "Tb", "Tbsp", "can", "cup", "cups", "ounce", "ounces", "pinch", "pound", "serving", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 11821    | ["", "C", "Cs", "Tbs", "cup", "cups", "gms", "ounces", "pinch", "pinches", "pounds", "servings", "strip", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1186     | ["", "cups", "gms", "grams", "ounces"]
 1188     | ["", "cups", "jar", "ounces", "package", "servings"]
 11885    | ["cups", "ounces"]
 11886    | ["", "Cs", "cup", "cups", "fluid ounces", "ounces", "quarts", "tablespoons"]
 11887    | ["", "Cs", "Ozs", "Tablespoon", "Tablespoons", "Tb", "Tbs", "Tbsp", "Tbsps", "can", "cans", "cups", "grams", "mLs", "ounce", "ounces", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1190     | [""]
 11901    | ["can", "cups", "ounces"]
 11911111 | ["", "servings"]
 11913    | ["C", "bag", "can", "cup", "cups", "gms", "handful", "ounce", "ounces", "package", "pound"]
 11916    | ["", "Cups", "Ounces", "Tbsps", "container", "cup", "cups", "grams", "halves", "handful", "jar", "ounce", "ounces", "pounds", "servings", "tablespoon", "tablespoons"]
 1192     | ["box", "cup", "cups", "ounces", "pouch", "pounds", "servings"]
 11935    | ["Cups", "Tablespoons", "Tb", "Tbs", "Tbsp", "Tbsps", "cup", "cups", "milliliters", "ounces", "serving", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 11940    | ["", "cups"]
 11941    | ["", "cups", "servings", "tablespoon"]
 11943    | ["", "cups", "ounces", "pounds", "tablespoon", "tablespoons"]
 11944    | ["Tablespoons", "cups", "ounce", "tablespoon", "tablespoons", "teaspoons"]
 11945    | ["cups", "tablespoon", "tablespoons", "teaspoons"]
 11950    | ["cups", "grams", "ounces"]
 11951    | ["", "cup", "cups", "ounces", "servings"]
 11952    | ["", "cups", "head", "heads"]
 11954    | ["", "can", "cups", "ounces", "pound", "pounds"]
 11955    | ["", "Tablespoon", "Tablespoons", "Tbs", "Tbsps", "cup", "cups", "grams", "halves", "handful", "jar", "ounces", "pint", "servings", "tablespoon", "tablespoons", "teaspoon"]
 11956    | ["", "cup", "cups", "ounces", "tablespoon", "tablespoons", "teaspoons"]
 11957    | ["", "Bunch", "Pound", "cup", "cups", "handful", "heads", "ounces", "pounds", "serving", "servings", "stalk", "stick", "tablespoons"]
 11959    | ["", "Cs", "Handful", "Tbsps", "bunch", "bunches", "can", "cup", "cups", "grams", "handful", "handfuls", "leave", "ounce", "ounces", "pounds", "serving", "servings"]
 11960    | ["", "bag", "bunch", "cup", "cups", "grams", "ounces", "pound", "pounds"]
 11962    | ["", "can", "cups", "ounces", "tablespoon", "tablespoons", "teaspoons"]
 11963    | [""]
 1197     | ["cup", "cups", "ounces"]
 11970    | ["", "kgs"]
 11972    | ["", "Tb", "cups", "grams", "inches", "stalk", "stalks", "sticks", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 11974    | ["", "pound"]
 11976    | ["", "Cs", "cup", "cups", "servings", "tablespoons", "teaspoons"]
 11977    | ["", "ounce", "servings"]
 11979    | ["", "Tablespoon", "Tablespoons", "Tb", "Tbsp", "Tbsps", "cans", "container", "cup", "cups", "ounces", "pound", "pounds", "ribs", "serving", "servings", "slice", "slices", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 11980    | ["Tbs", "can", "ounces", "tablespoons"]
 11982    | [""]
 11987    | ["", "cup", "cups", "grams", "ounces", "pounds"]
 11989    | ["", "grams", "ounces"]
 1199     | ["cup", "cups", "ounce", "quart"]
 11990    | ["servings", "tablespoons", "teaspoon", "teaspoons"]
 11995    | ["pounds"]
 1200     | ["", "Cs", "L", "container", "containers", "cup", "cups", "liters", "ounces", "serving", "servings", "tablespoons", "tub"]
 12006    | ["", "Cs", "Tablespoon", "Tablespoons", "Tb", "Tbsp", "Tbsps", "cups", "grams", "pinch", "serving", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 12011111 | ["", "cups", "ounces", "pounds", "servings"]
 12014    | ["", "can", "cup", "cups", "grams", "handful", "serving", "servings", "tablespoon", "tablespoons", "teaspoons"]
 12020420 | ["cups"]
 12023    | ["Cs", "Tablespoon", "Tablespoons", "Tb", "Tbs", "Tbsp", "Tbsps", "cups", "grams", "serving", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 12036    | ["Tablespoons", "Tbsps", "cup", "cups", "grams", "ounces", "servings", "tablespoon", "tablespoons", "teaspoons"]
 12061    | ["", "Cups", "Tablespoons", "Tbsps", "cup", "cups", "gms", "grams", "handful", "milliliters", "ounces", "pound", "serving", "servings", "slice", "slices", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 12062    | ["", "cup", "cups", "grams", "ounces", "servings", "tablespoons"]
 12071    | ["cups", "ounces"]
 12085    | ["C", "Cs", "cup", "cups", "grams", "handful", "ounces", "tablespoons"]
 12087    | ["", "Cs", "cup", "cups", "grams", "handful", "ounces", "pounds", "serving", "servings", "tablespoon", "tablespoons", "teaspoons"]
 12088    | ["Tb", "Tbs", "cups", "tablespoon", "tablespoons"]
 1209     | ["cup", "cups", "ounces"]
 12098    | ["", "cups", "grams", "ounces", "pound", "pounds", "servings"]
 12104    | ["", "C", "Cs", "Tablespoons", "Tbs", "Tbsp", "Tbsps", "cup", "cups", "grams", "handful", "ounces", "package", "serving", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 12108    | ["Tablespoons", "Tbsp", "cup", "cups", "gms", "grams", "ounces", "serving", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 12109    | ["Cups", "Tb", "Tbsps", "cup", "cups", "ounces", "servings", "tablespoons"]
 12111111 | ["", "Tb", "teaspoon", "teaspoons"]
 12115    | ["", "Cs", "Tablespoons", "Tbsps", "cans", "cup", "cups", "grams", "milliliters", "ounces", "servings", "tablespoons"]
 12117    | ["", "Cs", "Tbsps", "can", "cans", "cup", "cups", "grams", "milliliters", "ounce", "ounces", "tablespoon", "tablespoons"]
 12118    | ["", "C", "Can", "Cs", "Cups", "Ozs", "Tbsps", "can", "cans", "cup", "cups", "grams", "milliliters", "ounces", "serving", "servings", "tablespoon", "tablespoons", "teaspoon"]
 12119    | ["Cs", "Tbsp", "cup", "cups", "ounces"]
 12120    | ["", "C", "Cs", "Tablespoon", "Tbs", "Tbsps", "cup", "cups", "grams", "handful", "ounces", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 12131    | ["cup", "cups", "grams", "ounces", "pounds", "servings"]
 12135    | ["Tablespoons", "cup", "cups", "grams", "ounces", "pound", "pounds", "serving", "servings", "tablespoons"]
 1214     | ["Ounces", "can", "cup", "cups", "milliliters", "ounces", "tablespoons"]
 12142    | ["", "C", "Cs", "Cups", "Tablespoons", "Tbs", "Tbsps", "cup", "cups", "grams", "halve", "mLs", "ounces", "pound", "pounds", "servings", "slice", "tablespoon", "tablespoons", "teaspoons"]
 12147    | ["", "Tablespoons", "Tbs", "Tbsp", "cup", "cups", "grams", "grs", "handful", "ounces", "serving", "servings", "tablespoon", "tablespoons", "teaspoons"]
 12151    | ["", "Cups", "Handful", "Tbs", "Tbsps", "cup", "cups", "grams", "ounce", "ounces", "servings", "tablespoon", "tablespoons", "teaspoon"]
 12152    | ["cup", "cups", "tablespoons"]
 12154    | ["cup", "cups"]
 12155    | ["", "C", "Cs", "Cups", "Handful", "Tbs", "Tbsp", "Tbsps", "cup", "cups", "gms", "grams", "grs", "halve", "handful", "ounces", "pound", "serving", "servings", "tablespoon", "tablespoons", "teaspoon"]
 12177    | ["grams"]
 12179    | ["C", "bag", "cup", "cups", "grams", "ounces", "servings"]
 12195    | ["C", "Cs", "Tablespoons", "Tbs", "Tbsp", "Tbsps", "cup", "cups", "grams", "ounces", "servings", "tablespoon", "tablespoons", "teaspoons"]
 12211111 | ["Tb", "dash", "drops", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 12220    | ["Tablespoon", "Tablespoons", "Tb", "Tbs", "Tbsp", "Tbsps", "cups", "grams", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1223     | ["Tablespoon", "cups", "grams", "scoop", "scoops", "teaspoons"]
 1226     | ["", "cup", "cups", "ounces", "servings", "tablespoon"]
 1228     | ["cup", "cups", "grams", "ounces", "pounds", "servings", "tablespoons"]
 1230     | ["", "C", "CUP", "Cs", "Cups", "Tablespoons", "Tbsp", "Tbsps", "cup", "cups", "mLs", "milliliters", "ounce", "ounces", "quart", "servings", "tablespoon", "tablespoons"]
 12311111 | ["drops", "tablespoons", "teaspoon", "teaspoons"]
 12320420 | ["cups"]
 12411111 | ["cups", "dashes", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1251     | ["cup", "cups", "ounce", "ounces", "pound", "serving", "servings", "tablespoon", "tablespoons"]
 12511111 | ["teaspoon", "teaspoons"]
 1253     | ["cup", "cups", "ounces", "pound", "pounds", "servings", "slice", "slices"]
 1256     | ["", "Cs", "Ozs", "Tablespoon", "Tablespoons", "Tbs", "Tbsp", "container", "cup", "cups", "grams", "milliliters", "ounces", "scoops", "serving", "servings", "tablespoon", "tablespoons", "teaspoons"]
 12611111 | ["", "bag", "servings"]
 12698    | ["Tablespoons", "Tbs", "Tbsps", "cups", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 13023    | ["ounces", "pounds"]
 13111111 | ["Tbsp", "tablespoon", "teaspoon", "teaspoons"]
 13147    | ["", "pounds"]
 13227    | ["", "grams", "pounds"]
 13311111 | [""]
 13321    | ["cup", "serving", "servings"]
 13323    | ["ounces"]
 13325    | ["grams", "ounces", "pound"]
 13335    | ["grams", "tablespoons"]
 13346    | ["Cs", "cups", "ounces", "pounds", "servings", "slices"]
 13411    | ["pound", "pounds"]
 13411111 | ["teaspoons"]
 13511111 | [""]
 13711111 | [""]
 13786    | ["", "Pounds", "ounces", "pound", "pounds"]
 13811111 | ["", "pounds"]
 13833    | ["", "cups", "ounces", "pounds", "rib"]
 13911111 | ["cup", "cups", "teaspoons"]
 13913    | ["", "grams", "pound", "pounds"]
 13926    | ["", "ounces", "pound", "pounds", "strips"]
 13943    | ["pounds"]
 13958    | ["pounds"]
 14003    | ["cups", "ounces"]
 14006    | ["", "C", "Tbs", "Tbsps", "bottle", "bottles", "can", "cans", "cup", "cups", "milliliters", "ounce", "ounces", "servings", "tablespoon"]
 14011111 | ["teaspoon", "teaspoons"]
 14034    | ["Tbsps", "cups", "ounces", "tablespoon", "tablespoons"]
 14037    | ["", "Tablespoon", "Tablespoons", "Tb", "Tbs", "Tbsp", "Tbsps", "Teaspoon", "cup", "cups", "milliliters", "ounce", "ounces", "serving", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 14051    | ["", "cup", "cups", "fluid ounce", "fluid ounces", "milliliters", "ounce", "ounces", "serving", "tablespoon", "tablespoons", "teaspoons"]
 14052    | ["", "Cs", "Ounces", "Tablespoons", "Tbsp", "Tbsps", "cup", "cups", "ounce", "ounces", "servings", "tablespoon", "tablespoons", "teaspoons"]
 14057    | ["cup", "cups", "milliliters", "tablespoons"]
 14084    | ["", "Cs", "Tablespoons", "bottle", "bottles", "cup", "cups", "glas", "grams", "liter", "mLs", "milliliters", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 14096    | ["", "Tbsps", "bottles", "cup", "cups", "glass", "milliliters", "ounces", "tablespoon", "tablespoons"]
 14097    | ["bottle", "bottles", "cup", "cups", "milliliters", "ounces", "tablespoons"]
 14099    | ["cups", "milliliters"]
 14102    | ["bottle", "cup", "cups", "tablespoons"]
 14106    | ["", "C", "Tablespoon", "Tablespoons", "Tbs", "Tbsps", "bottle", "cup", "cups", "glasses", "grams", "milliliters", "ounces", "servings", "tablespoon", "tablespoons", "teaspoons"]
 14113    | ["cups", "mLs", "tablespoons"]
 14121    | ["", "Cs", "TBSPs", "bottle", "can", "cans", "cup", "cups", "leave", "liter", "liters", "milliliters", "ounce", "ounces", "serving", "servings", "tablespoon"]
 14130    | ["", "cups", "liter", "ounces", "servings"]
 14132    | ["Cs", "cup", "cups", "ounce", "ounces", "servings", "tablespoon", "tablespoons", "teaspoon"]
 14134    | ["mLs", "milliliters"]
 14136    | ["C", "cup", "cups", "liter", "liters", "ounces", "quarts", "servings"]
 14140    | ["cup", "cups", "milliliters"]
 14144    | ["can", "cup", "cups", "liters", "ounces", "serving", "slice"]
 14146    | ["", "cup", "cups", "liters", "ounces", "tablespoon", "teaspoon", "teaspoons"]
 14157    | ["can", "cups", "fluid ounces", "inch", "milliliters", "ounces", "pounds", "servings", "tablespoon", "teaspoon"]
 14160    | ["bottle", "cups", "tablespoon", "tablespoons"]
 14181    | ["Tablespoons", "Tbsps", "cup", "cups", "fluid ounces", "milliliters", "ounces", "serving", "servings", "tablespoon", "tablespoons", "teaspoon"]
 14187    | ["cup", "cups", "ounce", "ounces"]
 14197    | ["Cs", "Tbsps", "cups", "grams", "ounce", "ounces", "servings", "tablespoon", "tablespoons", "teaspoon"]
 14201    | ["tablespoon"]
 14209    | ["", "Cs", "cup", "cups", "gallon", "milliliters", "ounces", "serving", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 14210    | ["", "cup", "cups", "ounce", "ounces", "servings", "tablespoons", "teaspoon"]
 14214    | ["Tablespoon", "Tbs", "Tbsp", "Tbsps", "cup", "packet", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 14242    | ["fluid ounces", "quarts", "tablespoon"]
 14287    | ["Tbs", "Tbsps", "cups", "teaspoons"]
 14292    | ["ounces", "tablespoons"]
 14303    | ["cups", "ounces"]
 14311    | ["cup", "cups", "grams", "ounces", "pounds", "tablespoon", "tablespoons"]
 14317    | ["Cs", "cups", "pound", "teaspoons"]
 14355    | ["", "Tbsps", "bags", "cup", "cups", "leave", "milliliters", "ounces", "pouch", "serving", "tablespoons"]
 14400    | ["cup", "cups", "fluid ounce", "ounces", "servings", "tablespoons"]
 14412    | ["", "C", "CUP", "Cs", "Cups", "Ls", "Tablespoon", "Tablespoons", "Tb", "Tbs", "Tbsp", "Tbsps", "bunch", "can", "cans", "cup", "cups", "fluid ounces", "gallon", "gallons", "grams", "inch", "inches", "liter", "liters", "milliliters", "ounce", "ounces", "pints", "qts", "quart", "quarts", "serving", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 14430    | ["cups", "ounces"]
 14475    | ["cups"]
 14534    | ["", "cup", "cups", "fluid ounces", "ounce", "ounces", "servings", "tablespoons", "teaspoons"]
 14551    | ["tablespoons"]
 14557    | ["teaspoons"]
 14602    | ["cup", "cups"]
 14623    | [""]
 15001    | ["", "fillet", "fillets", "grams", "ounces", "pound", "servings", "teaspoons"]
 15002    | ["can", "fillets", "grams", "ounces"]
 15010    | ["", "gms", "ounces", "pound", "pounds"]
 15012    | ["tablespoons", "teaspoons"]
 15015    | ["fillets", "grams", "ounces", "package", "pound", "pounds"]
 15018    | ["ounces", "pounds"]
 15023    | ["", "ounces", "pound", "pounds"]
 15028    | ["fillets", "ounces"]
 15031    | ["", "pounds"]
 15033    | ["grams"]
 15036    | ["", "ounces", "pound", "pounds"]
 15048    | ["fillets"]
 15050    | ["fillets"]
 15054    | ["fillets", "pound"]
 15055    | [""]
 15070    | ["stick"]
 15072    | ["cups", "ounces"]
 15073    | ["ounces"]
 15076    | ["", "fillet", "fillets", "grams", "kgs", "ounces", "packages", "pound", "pounds", "servings"]
 15077    | ["cup", "cups", "grams", "ounce", "ounces", "pound", "pounds", "serving", "slice", "slices"]
 15088    | ["", "can", "pounds"]
 15090    | ["tablespoon"]
 15101    | ["", "fillets", "ounces", "pound", "pounds"]
 15110    | ["", "fillets", "pounds"]
 15114    | ["", "cups", "fillets", "ounces"]
 15115    | ["servings"]
 15117    | ["", "cup", "ounces", "pound", "pounds"]
 15119    | ["", "Can", "can", "cans", "cup", "cups", "grams", "ounce", "ounces"]
 15121    | ["can", "cans", "cups", "ounces"]
 15129    | ["fillets"]
 15136    | ["", "Ozs", "cups", "kgs", "servings"]
 15141    | ["can", "cups", "grams", "ounces", "pounds"]
 15143    | [""]
 15147    | ["", "pound", "pounds", "servings", "teaspoons"]
 15152    | ["", "Ozs", "Pound", "cup", "cups", "grams", "ounces", "package", "pound", "pounds", "servings", "tablespoons"]
 15157    | ["", "cup", "grams", "kg", "ounces", "pound", "pounds"]
 15164    | ["", "grams", "pound", "pounds"]
 15166    | ["", "cup"]
 15167    | ["", "can", "pint", "pints", "pound"]
 15172    | ["", "grams", "ounces", "pound", "pounds"]
 15175    | ["", "grams", "ounces", "pound", "pounds"]
 15184    | ["ounces"]
 15214    | ["fillets", "ounces"]
 15243    | ["bag", "pound", "pounds"]
 15260    | ["ounces"]
 15261    | ["", "fillets", "ounces", "pound", "pounds"]
 16002    | ["cup", "cups"]
 16009    | ["", "can", "cans", "cups", "grams", "ounce", "ounces"]
 16015    | ["C", "Can", "Ounces", "Ozs", "Tablespoons", "can", "cans", "cup", "cups", "grams", "ounces", "pound", "serving", "servings", "tablespoons"]
 16018    | ["can", "cans", "cup", "cups", "grams", "ounce", "ounces", "pound", "tablespoons"]
 16020    | ["cups", "pound"]
 16024    | ["pound"]
 16025    | ["can", "cup", "cups", "ounce", "ounces", "pound"]
 16026    | ["can", "ounces"]
 16028    | ["ounces"]
 16032    | ["pound"]
 16033    | ["", "C", "Ounces", "Ozs", "bag", "can", "cans", "cup", "cups", "grams", "ounces", "pound", "servings", "tablespoon", "tablespoons"]
 16034    | ["can", "cup", "cups", "grams", "milliliters", "ounce", "ounces"]
 16037    | ["cups", "pound"]
 16038    | ["cups", "ounces", "pound"]
 16039    | ["ounces"]
 16042    | ["cups", "pound"]
 16043    | ["Can", "cans", "cup", "cups", "grams", "ounces", "pound"]
 16044    | ["cans", "cups", "grams", "ounce", "ounces"]
 16051    | ["can", "cans", "cups", "ounces"]
 16052    | ["cups"]
 16053    | ["cup", "cups", "grams", "handfuls", "pound", "pounds"]
 16055    | ["cups"]
 16056    | ["can", "cup", "cups", "handful", "ounces"]
 16057    | ["", "C", "Ounces", "can", "cans", "cup", "cups", "fl. oz.s", "ounces", "pounds", "servings", "tablespoons"]
 16058    | ["can", "cans", "cup", "cups", "grams", "mLs", "ounce", "ounces"]
 16063    | ["", "Handful", "can", "cup", "cups", "grams", "ounces", "pound", "pounds", "servings"]
